strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,68.9298245614035
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,68.25
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,68.9298245614035
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,90.91525423728814
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,71.375
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,82.83928571428571
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,111.30357142857143
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,92.16071428571429
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,82.14285714285714
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,121.14285714285714
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,87.23214285714286
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,84.29824561403508
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,75.17857142857143
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,83.2280701754386
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,98.23214285714286
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,83.2280701754386
pcc9511,dilution_2.txt,A,e440,76.87,1.7675812383999316,1,139
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,58.25
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,61.142857142857146
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,67.91071428571429
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,65.05357142857143
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,64.80357142857143
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,68.26785714285714
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,58.17857142857143
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,59.19298245614035
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,61.089285714285715
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,61.70175438596491
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,64.5
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,61.70175438596491
pcc9511,dilution_2.txt,A,e470,62.65,1.9351871989421316,1,80.44067796610169
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,64
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,66.875
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,69.51785714285714
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,81.10714285714286
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,72.125
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,68.71428571428571
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,62.892857142857146
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,71.42105263157895
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,67.46428571428571
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,68.9298245614035
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,68.25
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,68.9298245614035
pcc9511,dilution_2.txt,A,e532,63.45,1.6659089186544762,1,90.91525423728814
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,71.375
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,82.83928571428571
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,111.30357142857143
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,92.16071428571429
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,82.14285714285714
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,121.14285714285714
pcc9511,dilution_2.txt,B,e440,138.9367816091954,1.859679563580081,1,87.23214285714286
