date,time,e440,e470,e532,jsp,replicate,file,second,hms
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,14:30:00,822,769,187,535,1,dilution_0.txt,32,0
2020-10-31,14:30:00,832,777,185,536,1,dilution_0.txt,33,0
2020-10-31,14:30:00,828,774,184,535,1,dilution_0.txt,34,0
2020-10-31,14:30:00,805,757,180,535,1,dilution_0.txt,35,0
2020-10-31,14:30:00,823,776,184,535,1,dilution_0.txt,36,0
2020-10-31,14:30:00,823,774,182,535,1,dilution_0.txt,37,0
2020-10-31,14:30:00,824,773,183,535,1,dilution_0.txt,38,0
2020-10-31,14:30:00,824,775,186,535,1,dilution_0.txt,39,0
2020-10-31,14:30:00,802,758,178,535,1,dilution_0.txt,40,0
2020-10-31,14:30:00,813,768,184,535,1,dilution_0.txt,41,0
2020-10-31,14:30:00,824,770,186,535,1,dilution_0.txt,42,0
2020-10-31,14:30:00,822,772,185,535,1,dilution_0.txt,43,0
2020-10-31,14:30:00,824,775,184,535,1,dilution_0.txt,44,0
2020-10-31,14:30:00,803,759,185,535,1,dilution_0.txt,45,0
2020-10-31,14:30:00,806,759,183,535,1,dilution_0.txt,46,0
2020-10-31,14:30:00,824,771,183,535,1,dilution_0.txt,47,0
2020-10-31,14:30:00,832,782,184,535,1,dilution_0.txt,48,0
2020-10-31,14:30:00,835,791,188,535,1,dilution_0.txt,49,0
2020-10-31,14:30:00,808,766,183,535,1,dilution_0.txt,50,0
2020-10-31,14:30:00,820,774,185,535,1,dilution_0.txt,51,0
2020-10-31,14:30:00,826,777,186,535,1,dilution_0.txt,52,0
2020-10-31,14:30:00,832,784,187,535,1,dilution_0.txt,53,0
2020-10-31,14:30:00,825,778,183,535,1,dilution_0.txt,54,0
2020-10-31,14:30:00,807,766,184,535,1,dilution_0.txt,55,0
2020-10-31,14:30:00,817,775,187,535,1,dilution_0.txt,56,0
2020-10-31,14:30:00,810,776,183,537,1,dilution_0.txt,57,0
2020-10-31,14:30:00,814,765,181,537,1,dilution_0.txt,58,0
2020-10-31,14:30:00,812,768,182,537,1,dilution_0.txt,59,0
2020-10-31,14:30:00,805,763,187,536,2,dilution_0.txt,61,0
2020-10-31,14:30:00,808,753,186,536,2,dilution_0.txt,62,0
2020-10-31,14:30:00,811,765,183,536,2,dilution_0.txt,63,0
2020-10-31,14:30:00,820,770,184,536,2,dilution_0.txt,64,0
2020-10-31,14:30:00,818,780,188,536,2,dilution_0.txt,65,0
2020-10-31,14:30:00,816,776,182,536,2,dilution_0.txt,66,0
2020-10-31,14:30:00,814,771,185,536,2,dilution_0.txt,67,0
2020-10-31,14:30:00,821,777,184,535,2,dilution_0.txt,68,0
2020-10-31,14:30:00,812,770,184,535,2,dilution_0.txt,69,0
2020-10-31,14:30:00,810,766,183,535,2,dilution_0.txt,70,0
2020-10-31,14:30:00,818,769,183,535,2,dilution_0.txt,71,0
2020-10-31,14:30:00,816,771,181,535,2,dilution_0.txt,72,0
2020-10-31,14:30:00,792,756,182,535,2,dilution_0.txt,73,0
2020-10-31,14:30:00,806,756,181,535,2,dilution_0.txt,74,0
2020-10-31,14:30:00,818,763,179,535,2,dilution_0.txt,75,0
2020-10-31,14:30:00,816,772,184,535,2,dilution_0.txt,76,0
2020-10-31,14:30:00,810,761,184,535,2,dilution_0.txt,77,0
2020-10-31,14:30:00,801,756,183,535,2,dilution_0.txt,78,0
2020-10-31,14:30:00,794,751,181,535,2,dilution_0.txt,79,0
2020-10-31,14:30:00,817,758,187,535,2,dilution_0.txt,80,0
